date,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2023-09-14T00:00:00.000Z,56.1,66.28,55.54,63.59,130534505
2023-09-15T00:00:00.000Z,68.63,69.0,60.75,60.75,74753091
2023-09-18T00:00:00.000Z,57.95,58.7407,55.02,58.0,34571903
2023-09-19T00:00:00.000Z,56.25,56.78,53.88,55.17,18308644
2023-09-20T00:00:00.000Z,55.17,55.4,51.52,52.91,16369470
2023-09-21T00:00:00.000Z,51.78,52.8,49.85,52.16,15010920
2023-09-22T00:00:00.000Z,52.9,52.9,50.3548,51.32,8430168
2023-09-25T00:00:00.000Z,51.12,54.5,50.02,54.44,12896541
2023-09-26T00:00:00.000Z,53.93,54.53,52.7,53.52,6283544
2023-09-27T00:00:00.000Z,54.4,54.4099,51.7894,52.99,6866740
2023-09-28T00:00:00.000Z,53.5,56.5,52.86,55.49,8765755
2023-09-29T00:00:00.000Z,56.21,56.79,53.08,53.52,7810025
2023-10-02T00:00:00.000Z,53.475,54.1899,51.91,52.26,8857088
2023-10-03T00:00:00.000Z,51.96,52.235,50.8,51.57,4687735
2023-10-04T00:00:00.000Z,51.97,53.81,51.31,53.46,6206459
2023-10-05T00:00:00.000Z,53.9,53.9,52.09,52.51,2984420
2023-10-06T00:00:00.000Z,52.72,54.21,51.55,54.08,4009236
2023-10-09T00:00:00.000Z,54.4,55.8,53.37,54.25,7197706
2023-10-10T00:00:00.000Z,55.24,55.86,54.2,55.71,5138144
2023-10-11T00:00:00.000Z,56.17,56.33,54.38,54.68,4454722
2023-10-12T00:00:00.000Z,54.75,54.75,51.41,51.85,7323145
2023-10-13T00:00:00.000Z,52.5,52.56,50.0,50.78,6462484
2023-10-16T00:00:00.000Z,51.04,52.35,51.04,52.09,3316789
2023-10-17T00:00:00.000Z,51.0,52.76,50.65,52.29,2549709
2023-10-18T00:00:00.000Z,52.28,52.7,51.275,51.9,2268871
2023-10-19T00:00:00.000Z,52.0,52.7,49.53,49.74,4553360
2023-10-20T00:00:00.000Z,49.74,49.74,46.5,47.87,8089129
2023-10-23T00:00:00.000Z,47.22,51.88,46.5,50.21,9979286
2023-10-24T00:00:00.000Z,52.0,52.8917,51.05,52.37,7211721
2023-10-25T00:00:00.000Z,52.7,52.79,49.31,49.44,4518810
2023-10-26T00:00:00.000Z,50.06,51.11,49.5,50.17,3555300
2023-10-27T00:00:00.000Z,51.26,51.33,48.81,49.09,2611336
2023-10-30T00:00:00.000Z,49.51,49.9,47.28,47.9,3677661
2023-10-31T00:00:00.000Z,47.9,49.66,47.12,49.29,3248684
2023-11-01T00:00:00.000Z,49.61,50.52,48.3,50.52,3066410
2023-11-02T00:00:00.000Z,51.4,53.56,51.3,52.82,4752687
2023-11-03T00:00:00.000Z,52.82,53.86,52.25,53.49,2545035
2023-11-06T00:00:00.000Z,53.98,54.46,52.52,53.1,2328270
2023-11-07T00:00:00.000Z,53.45,56.1,53.26,55.27,4534176
2023-11-08T00:00:00.000Z,55.27,55.56,53.39,54.4,6128231
2023-11-09T00:00:00.000Z,51.0,52.05,49.82,51.58,15354467
2023-11-10T00:00:00.000Z,52.0,52.5,51.01,52.27,5803942
2023-11-13T00:00:00.000Z,52.2,52.5,50.57,51.69,4524968
2023-11-14T00:00:00.000Z,53.0,53.5,52.28,53.43,3541284
2023-11-15T00:00:00.000Z,54.4,56.03,54.08,55.43,5821817
2023-11-16T00:00:00.000Z,55.51,55.6799,53.47,54.23,3291412
2023-11-17T00:00:00.000Z,55.11,55.74,54.26,54.99,3443898
2023-11-20T00:00:00.000Z,55.35,59.24,55.27,58.68,7808006
2023-11-21T00:00:00.000Z,58.0,58.9,56.43,58.66,5615415
2023-11-22T00:00:00.000Z,59.0,64.92,59.0,61.76,15119683
2023-11-24T00:00:00.000Z,61.5,64.2,61.41,63.88,6004929
2023-11-27T00:00:00.000Z,63.05,63.69,60.99,61.0,6681872
2023-11-28T00:00:00.000Z,60.84,62.68,60.79,61.92,4106892
2023-11-29T00:00:00.000Z,62.52,63.41,61.69,62.21,3642374
2023-11-30T00:00:00.000Z,62.58,63.5,60.91,61.5,4833273
2023-12-01T00:00:00.000Z,61.51,64.43,60.91,63.9,5446185
2023-12-04T00:00:00.000Z,63.9,63.9,60.8,61.93,5012171
2023-12-05T00:00:00.000Z,61.73,64.349,60.37,63.59,6666904
2023-12-06T00:00:00.000Z,64.35,64.69,60.89,61.06,5350702
2023-12-07T00:00:00.000Z,61.52,62.97,61.2,62.44,3139112
2023-12-08T00:00:00.000Z,62.44,67.4399,62.235,67.23,18815931
2023-12-11T00:00:00.000Z,67.26,67.26,64.29,64.89,7625495
2023-12-12T00:00:00.000Z,65.0,66.25,63.28,64.71,5711703
2023-12-13T00:00:00.000Z,65.41,66.5,62.75,65.61,7023954
2023-12-14T00:00:00.000Z,66.52,71.79,66.37,70.735,11835036
2023-12-15T00:00:00.000Z,70.5,71.89,69.29,71.03,7058443
2023-12-18T00:00:00.000Z,69.96,70.0915,68.02,68.87,4744779
2023-12-19T00:00:00.000Z,69.23,70.5499,68.81,69.43,3886427
2023-12-20T00:00:00.000Z,69.5,72.9897,68.38,68.4,8177594
2023-12-21T00:00:00.000Z,70.0,71.95,69.3,71.2,5407601
2023-12-22T00:00:00.000Z,72.0,73.4385,71.48,72.29,5763862
2023-12-26T00:00:00.000Z,73.27,74.0,71.76,73.41,4046596
2023-12-27T00:00:00.000Z,74.5,74.76,73.4101,74.25,3515058
2023-12-28T00:00:00.000Z,74.79,78.35,74.5,77.47,9176899
2023-12-29T00:00:00.000Z,78.36,78.66,74.6,75.145,11178334
2024-01-02T00:00:00.000Z,73.5,73.52,68.243,68.92,9770966
2024-01-03T00:00:00.000Z,67.07,68.5,65.11,67.91,7858160
2024-01-04T00:00:00.000Z,68.99,69.6,67.14,68.39,5757570
2024-01-05T00:00:00.000Z,69.12,70.39,66.52,67.05,7274142
2024-01-08T00:00:00.000Z,67.76,73.1846,67.52,72.84,9303504
2024-01-09T00:00:00.000Z,72.8,72.98,70.91,71.88,5982003
2024-01-10T00:00:00.000Z,73.0,74.38,69.86,70.77,7450639
2024-01-11T00:00:00.000Z,71.67,71.872,68.19,69.77,6396114
2024-01-12T00:00:00.000Z,70.85,70.91,69.01,70.0,4025998
2024-01-16T00:00:00.000Z,70.0,70.0,67.55,68.48,7090256
2024-01-17T00:00:00.000Z,68.0,69.96,66.66,69.86,7209106
2024-01-18T00:00:00.000Z,72.0,74.8,71.41,74.23,11287498
2024-01-19T00:00:00.000Z,75.07,78.9674,74.43,78.58,9956491
2024-01-22T00:00:00.000Z,78.58,79.94,76.5,77.11,7697443
2024-01-23T00:00:00.000Z,77.0,77.59,75.46,76.35,4052530
2024-01-24T00:00:00.000Z,77.2,77.6699,74.8,75.74,5813394
2024-01-25T00:00:00.000Z,76.49,79.65,73.26,73.91,8817139
2024-01-26T00:00:00.000Z,73.14,73.89,70.8,71.17,7077097
2024-01-29T00:00:00.000Z,72.0,72.95,71.2,72.93,4318120
