date,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2021-05-20T00:00:00.000Z,84.0,90.05,78.96,88.0,8753751
2021-05-21T00:00:00.000Z,87.56,91.99,84.95,88.62,2522935
2021-05-24T00:00:00.000Z,88.78,88.78,83.9929,86.21,452664
2021-05-25T00:00:00.000Z,85.85,85.895,81.58,81.9,650306
2021-05-26T00:00:00.000Z,81.78,82.74,80.09,81.45,594688
2021-05-27T00:00:00.000Z,81.45,83.38,79.8501,82.3,310315
2021-05-28T00:00:00.000Z,82.43,90.0,81.27,86.42,644132
2021-06-01T00:00:00.000Z,85.87,87.0,85.02,86.42,124675
2021-06-02T00:00:00.000Z,87.1,87.31,85.11,86.57,389782
2021-06-03T00:00:00.000Z,85.32,86.15,81.17,81.4,424164
2021-06-04T00:00:00.000Z,80.81,82.29,80.57,81.24,363381
2021-06-07T00:00:00.000Z,81.1,86.0,81.05,84.46,329146
2021-06-08T00:00:00.000Z,83.59,89.2399,83.0201,88.4,591955
2021-06-09T00:00:00.000Z,88.0,88.825,86.3754,86.74,216258
2021-06-10T00:00:00.000Z,86.03,88.3,85.761,86.59,359115
2021-06-11T00:00:00.000Z,86.09,87.94,83.69,83.99,151028
2021-06-14T00:00:00.000Z,85.01,88.87,82.69,83.96,285481
2021-06-15T00:00:00.000Z,82.17,83.72,81.61,81.94,129185
2021-06-16T00:00:00.000Z,82.66,83.99,81.29,82.26,70415
2021-06-17T00:00:00.000Z,82.54,87.22,81.53,84.83,269053
2021-06-18T00:00:00.000Z,84.89,97.652,84.51,91.05,699924
2021-06-21T00:00:00.000Z,91.51,94.25,88.65,93.19,272526
2021-06-22T00:00:00.000Z,93.3,96.64,92.3,95.8,357020
2021-06-23T00:00:00.000Z,95.29,96.6,94.51,95.78,160909
2021-06-24T00:00:00.000Z,96.26,98.955,96.1,98.34,255447
2021-06-25T00:00:00.000Z,97.55,98.46,91.68,94.52,236094
2021-06-28T00:00:00.000Z,95.39,97.02,92.36,93.51,186413
2021-06-29T00:00:00.000Z,93.87,94.11,92.1,92.97,105165
2021-06-30T00:00:00.000Z,93.51,95.89,91.83,94.95,368734
2021-07-01T00:00:00.000Z,94.76,96.05,90.05,93.07,472345
2021-07-02T00:00:00.000Z,92.79,96.83,92.2,95.71,132932
2021-07-06T00:00:00.000Z,96.0,96.0,90.35,91.73,97442
2021-07-07T00:00:00.000Z,91.15,94.76,90.8,94.18,129087
2021-07-08T00:00:00.000Z,93.08,96.0,91.14,94.81,214690
2021-07-09T00:00:00.000Z,94.87,96.06,94.12,94.99,154162
2021-07-12T00:00:00.000Z,95.27,99.255,93.74,95.73,161207
2021-07-13T00:00:00.000Z,95.86,96.0,94.975,95.51,171278
2021-07-14T00:00:00.000Z,95.99,97.1999,94.5157,95.59,172937
2021-07-15T00:00:00.000Z,96.0,96.0,90.19,92.37,367479
2021-07-16T00:00:00.000Z,92.29,95.0,91.91,94.44,249670
2021-07-19T00:00:00.000Z,94.46,94.48,92.0,94.21,104686
2021-07-20T00:00:00.000Z,94.25,95.26,93.13,95.0,136707
2021-07-21T00:00:00.000Z,95.38,96.33,93.99,95.23,137153
2021-07-22T00:00:00.000Z,97.68,98.99,94.822,96.75,171867
2021-07-23T00:00:00.000Z,97.18,100.0,96.6,98.89,187876
2021-07-26T00:00:00.000Z,98.97,100.4148,98.35,99.49,135657
2021-07-27T00:00:00.000Z,98.89,99.9,95.39,99.37,126039
2021-07-28T00:00:00.000Z,99.77,100.32,97.98,99.82,191329
2021-07-29T00:00:00.000Z,100.28,103.67,99.84,101.81,164255
2021-07-30T00:00:00.000Z,102.01,104.42,100.7901,103.28,187579
2021-08-02T00:00:00.000Z,104.31,108.75,104.275,105.94,145346
2021-08-03T00:00:00.000Z,105.87,107.12,104.115,104.63,77845
2021-08-04T00:00:00.000Z,104.73,106.61,100.95,101.02,144620
2021-08-05T00:00:00.000Z,101.42,102.258,97.28,98.14,170374
2021-08-06T00:00:00.000Z,98.78,101.48,92.83,99.79,561952
2021-08-09T00:00:00.000Z,100.0,100.97,98.38,98.38,231807
2021-08-10T00:00:00.000Z,98.87,100.02,94.34,94.5,163911
2021-08-11T00:00:00.000Z,94.03,97.1,92.35,97.09,246976
2021-08-12T00:00:00.000Z,97.11,97.99,94.7,95.97,224284
2021-08-13T00:00:00.000Z,96.29,97.0571,92.59,92.85,196917
2021-08-16T00:00:00.000Z,93.0,93.05,89.0,89.95,187374
2021-08-17T00:00:00.000Z,90.13,92.63,88.35,89.35,364646
2021-08-18T00:00:00.000Z,86.75,89.2505,85.0,85.83,1423138
2021-08-19T00:00:00.000Z,84.25,89.36,82.75,87.45,588358
2021-08-20T00:00:00.000Z,86.16,88.02,85.78,86.0,435063
2021-08-23T00:00:00.000Z,85.99,89.2241,85.99,87.33,596789
2021-08-24T00:00:00.000Z,87.35,88.75,87.32,87.48,285859
2021-08-25T00:00:00.000Z,87.83,89.32,86.9,88.88,410865
2021-08-26T00:00:00.000Z,87.38,90.0,87.38,89.26,432711
2021-08-27T00:00:00.000Z,88.95,95.77,88.3238,95.08,669587
2021-08-30T00:00:00.000Z,95.25,97.87,94.0,94.67,333102
2021-08-31T00:00:00.000Z,94.68,94.68,90.03,90.7,240097
2021-09-01T00:00:00.000Z,91.74,95.85,91.03,95.46,295462
2021-09-02T00:00:00.000Z,95.4,98.43,94.2277,98.26,428325
2021-09-03T00:00:00.000Z,97.66,104.24,97.66,102.05,662193
2021-09-07T00:00:00.000Z,101.82,102.0,97.84,99.0,429966
2021-09-08T00:00:00.000Z,98.87,99.76,94.0,94.81,248220
2021-09-09T00:00:00.000Z,94.49,97.99,93.11,93.39,288977
2021-09-10T00:00:00.000Z,94.03,94.94,91.16,92.41,318408
